(政府捐助)財團法人社會福利慈善事業基金會,['104348']
觀光、無障礙計程車收費標準(彙整),['75708']
觀光計程車,['75721']
計程車共乘費率表(彙整),['75706']
計程車彈性運輸服務月運量統計,['87702']
計程車統計數量,['87703']
計程車費率比較表,['87714']
訓就中心服務,['127075']
訓練就業中心各就業服務站(台)據點,['43885']
訴願審議申請人數,['127134']
訴願案件統計,['101646']
警察(分)局暨所屬分駐(派出)所地址資料,['104250']
警察局處理家庭暴力績效,['87241']
警察局車輛使用狀況,['87214']
警局現有正式員額,['87244']
議會第２屆議員選舉第１１選舉區(大寮區、林園區)開票統計結果,['47026']
財團法人基金會基本資料,['98089']
財團法人教會堂基本資料,['98088']
資料開放平台資料清冊,['85423']
資深里長名冊,['102193']
資訊可變標誌1.1版動態資料,['43854']
資訊可變標誌1.1版靜態資料,['43765']
起火建築物,"['75672', '75673', '75674', '102073', '106132', '122621', '122626', '122635', '124525']"
路口多向違規監測系統設置地點,['127498']
路口監視器地點,"['104549', '107546', '118535']"
路段績效1.1版動態資料,['43795']
路段績效1.1版服務水準門檻分級資料,['43762']
路段績效1.1版靜態資料,['43858']
路況監視系統1.1版動態資料,['43802']
路況監視系統1.1版靜態資料,['43789']
路竹區A3交通事故資料,"['106170', '114078']"
路竹區公所資料盤點表,['87706']
身心障礙人員進用情形,['46851']
身心障礙學生數,['127112']
身心障礙照顧者津貼請領人數,['104282']
身心障礙者日間照顧及住宿式照顧費用補助人數,['104283']
身心障礙者服務-全日型住宿機構,['128159']
身心障礙者服務-全日型兼日間型生活重建機構,['128158']
身心障礙者服務-家庭托顧據點,['128153']
身心障礙者服務-庇護工場,['128157']
身心障礙者服務-日間服務機構,['128161']
身心障礙者服務-日間照顧據點,['128160']
身心障礙者服務-樂活補給站,['128148']
身心障礙者服務-社區作業設施,['128155']
身心障礙者服務-社區居住家園,['128154']
身心障礙者服務-精神障礙者生活重建服務據點,['128151']
身心障礙者服務-綜合性身心障礙福利服務機構,['128150']
身心障礙者服務-視覺障礙者社會重建中心,['128152']
身心障礙者服務-身心障礙福利社團,['128156']
身心障礙者服務-輔具服務據點,['128149']
身心障礙者福利服務,['104286']
身心障礙者職業輔導評量服務個案人數,['127080']
車輛偵測器資料1.1版1分鐘動態資料,['43841']
車輛偵測器資料1.1版5分鐘動態資料,['43767']
車輛偵測器資料1.1版靜態資料,['43883']
車輛行車事故鑑定,['101929']
軍人忠靈祠葬厝表,"['104246', '104247', '104248']"
輔導成立守望相助組織成果,['87245']
輔英科技大學共乘費率表,['75714']
農會名冊,['79273']
農業性合作社場,['79272']
農民健康保險被保險人數,['127082']
農水路更新改善計畫,['75933']
進食與吞嚥照護CB02服務名單,['102216']
遊艇產業政府投資及經費來源,['87171']
運動發展局場館資訊,['114072']
道路交通事故斑點圖,['114109']
道路挖掘資訊,['47053']
道路長度面積統計,['43759']
違反家庭暴力罪嫌疑犯人數,['104308']
違反社會秩序維護法案件,['87251']
違建隊廣告招牌查報總件數,['75703']
違建隊違章建築查報件數,['87123']
違章建築拆除結案作業原則,['87707']
遠洋漁業生產量,['87182']
遠距視訊服務件數統計表,['127778']
遭難漁民數,['87169']
遭難漁船數,['87170']
遷入遷出人數,['127024']
那瑪夏區A3交通事故資料,['114093']
那瑪夏區公告土地現值,"['100588', '114298']"
那瑪夏區公告地價,"['100648', '114260']"
都市地價指數漲跌幅表,['102071']
都市更新成果,['127567']
都市計畫公告實施案件資料,['102190']
都市計畫委員會委員名單,['102029']
都市計畫委員會審議會議紀錄,['127654']
都市計畫程序中辦理案件進度,['127651']
都市設計及土地使用開發許可審議委員名單,['102027']
都發局資料盤點表,['127252']
酒癮治療服務方案合作醫院,['104959']
醫療觀光機構名單,['104565']
醫療院所相關資料查詢,['114134']
醫療院所資料,['43821']
里活動中心,['47063']
里活動中心資訊,['47084']
里鄰戶口數與結離婚人數統計,['102194']
里長通訊錄,['47086']
里長選舉,['127087']
里長選舉候選人得票數統計表,['101648']
重要施政計畫實施性別影響評估案件一覽表,['78312']
重陽節敬老禮金發放人數,['104338']
銀髮族服務-公立老人安養護機構,['128123']
銀髮族服務-公設民營養護機構,['128122']
銀髮族服務-多元照顧中心,['128119']
銀髮族服務-家庭托顧,['128110']
銀髮族服務-居家長照機構,['128115']
銀髮族服務-日間托老,['128121']
銀髮族服務-日間照顧中心,['128120']
銀髮族服務-社區整體照顧服務體系_A,['128113']
銀髮族服務-社區整體照顧服務體系_C,['128112']
銀髮族服務-社區照顧關懷據點,['128114']
銀髮族服務-私立老人養護機構,['128116']
銀髮族服務-老人公寓,['128118']
銀髮族服務-老人活動中心,['128117']
銀髮族服務-銀髮家園,['128103']
銀髮族服務-銀髮農園,['128102']
銀髮族服務-長期照顧管理中心,['128111']
銀髮族服務-高齡學習機構-勞工大學,['128105']
銀髮族服務-高齡學習機構-松年大學,['128109']
銀髮族服務-高齡學習機構-樂齡中心,['128104']
銀髮族服務-高齡學習機構-樂齡大學,['128130']
銀髮族服務-高齡學習機構-空中大學,['128108']
銀髮族服務-高齡學習機構-部落大學,['128106']
銀髮族服務-高齡學習機構-長青學苑,['128107']
長期照護服務人員人數,['127046']
長期照護機構實際進住人數,['104321']
長期照顧十年計畫補助日間照顧服務個案人數,['104285']
長照服務申請--長期照顧管理中心,['86411']
門、住診合計就診率,['127043']
開闢道路用地取得統計(累計),['127829']
閘門及抽水站,"['104708', '104709']"
關懷據點資料,['47085']
防火管理執行情形,['102066']
防空疏散避難設施數量及容量,['127390']
防範1氧化碳中毒補助申請,['87061']
阿蓮區A3交通事故資料,"['104258', '114090']"
阿蓮區天然災害災民避難收容處所,['128344']
雄市總預算附屬單位預算及綜計表(法定預算)-營業基金現金流量項目分列(依分列),['100916']
雨水下水道清疏,['127864']
零歲平均餘命,['127036']
電動機車充電站名稱及充電站地址,['75776']
電器承裝業登記清冊,['46993']
電影院現況,['75772']
青年刑案嫌疑犯人數,['104300']
非勞動力人口,['127073']
非都市土地開發專責審議小組委員名單,['102028']
預立醫療諮詢醫療機構,['104564']
預防接種合約醫療院所,['106014']
領有身心障礙手冊人數,['104343']
颱風豪雨期間開放車輛臨時停放處所一覽表,['80260']
食用水產製造品生產量及價值-(按季別分),['87177']
食用水產製造品生產量及價值-(按魚類別),['87161']
飲用水資訊,['128343']
首次生產婦女之平均年齡,['127060']
首長會報暨跨域合作,['43846']
高雄1999派工資料,"['75667', '75777', '75778', '75779', '75780', '78621', '86309', '93808']"
高雄720空間影像網,['127592']
高雄厝,['87704']
高雄土地段代碼,['102189']
高雄文藝獎歷屆得獎名單,['104440']
高雄款公車式小黃服務計畫-修,['75716']
高雄環狀輕軌捷運建設計畫-第2階段工程進度,['106245']
高雄環狀輕軌捷運系統用地及土地開發辦理都市計畫變更情形,['102180']
高雄紅橘線捷運車站中心座標,['102187']
高雄紅橘線捷運車站地址,['88233']
高雄綠豆椪得獎店家名單,['47028']
高雄觀光工廠名單,['102204']
高雄輕軌月均運量統計,['106199']
高雄輕軌車站中心座標,['102183']
高雄輕軌車站出入口基本資料,['102184']
高雄都會區捷運系統各路線里程分佈概況,['102188']
高雄都會區捷運系統紅橘線用地辦理都市計畫變更情形,['102181']
高雄駁2 Pier2交通資訊,['47219']
高雄都會區捷運系統工程計畫概況,['102185']
鳥松區A3交通事故資料,"['106167', '114082']"
鳳山分局路口監視器地點,"['104535', '127556']"
鳳山區A3交通事故資料,"['106175', '114074']"
鹽埕分局路口監視器地點,"['104534', '127586']"
鹽埕區A3交通事故資料,"['106174', '114069']"
鼓山分局路口監視器地點,"['104537', '127558']"
鼓山區A3交通事故資料,"['106171', '114077']"
