(中台灣排除6都)公司登記資料-A農、林、漁、牧業,['108351']
海峽兩岸服務貿易協議-農業問答集,['73175']
海峽兩岸醫藥衛生合作協議,['9074']
海峽兩岸食品安全協議,['9071']
海巡服務據點資訊-1○岸巡隊介紹,['9954']
海巡機關2000噸艦艇圖片,['7786']
海巡機關車輛圖片,['7086']
海巡法規,['7785']
海巡統計年報,['5991']
海巡署1000噸艦艇資料及圖片,['9952']
海巡署內部控制制度聲明書,['30152']
海巡署其他海巡績效統計,"['9856', '13834']"
海巡署取締非法越區捕魚統計,"['9855', '13840']"
海巡署各月會計月報,['43690']
海巡署各海巡隊暨安檢所電話表,['21423']
海巡署年度開班資訊,['7787']
海巡署志願役士兵訓練成效,['9940']
海巡署志願役專業軍官訓練成效,['9942']
海巡署暨所屬各機關端正政風防制貪污工作,['9961']
海巡署查獲人口販運統計,['9851']
海巡署查獲槍砲彈藥刀械統計,"['9847', '13833']"
海巡署查獲毒品統計,['13836']
海巡署查獲私運農林漁畜產品及其他物品統計,"['9849', '13835']"
海巡署查獲經濟犯罪之專案工作統計,['13839']
海巡署查獲非法入出國統計,['13837']
海巡署海巡服務工作,['7085']
海巡署海巡特考錄取人員訓練成效,['9941']
海巡署災難救護及服務工作統計,"['9852', '13842']"
海巡署熱點查詢,['7088']
海巡署維護海域海岸資源統計,['13841']
海巡雙月刊,['5992']
海平面統計-臺灣各地潮位觀測月平均海平面,['33534']
海氣象資料浮標站位置圖,['25767']
海水入侵及地下水鹽化區,['129459']
海水檢測,['61261']
海水淡化廠營運概況,['62990']
海洋保育計畫(核定版),['128494']
海洋保護區管理與執法檢討會議紀錄,['44758']
海洋委員會嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,['122653']
海洋委員會年度單位決算書,['118212']
海洋委員會年度預算書,['127244']
海洋委員會會計月報,"['117541', '127392']"
海洋委員會海巡署及所屬各月會計月報,['117558']
海洋委員會海巡署及所屬法定預算,['117555']
海洋委員會海巡署及所屬預算案,"['117552', '117556']"
海洋委員會海洋保育署會計月報,['126882']
海洋委員會海洋保育署法定預算,['116146']
海洋委員會海洋保育署海洋保育計畫,['116001']
海洋委員會特別預算會計月報,['120252']
海洋廢棄物清理狀況統計,['116135']
海洋污染監測與應處計畫,['128495']
海洋漫波季刊,['115999']
海洋野生動保育諮詢委員會第1屆第1次定期會議紀錄,['116003']
海流模式,['96807']
海溫統計-臺灣海域各地海溫觀測月統計,['40574']
海灘水質監測站位置圖,['28189']
海象觀測測站資料,['122532']
海軍學術雙月刊,['15951']
海軍睦鄰成效統計,"['44611', '44612']"
海軍軍官季刊,['15960']
海軍軍官招生資訊,['41643']
海軍陸戰隊主要單位特色簡介,['8545']
海軍陸戰隊各類專長內容一覽表,['8546']
海運進口報單通關處理流程事件代碼,['32091']
海關博物館參訪人數統計,['32060']
海關各項APP年度下載量,['32061']
海關各類信箱,['24154']
海關單1窗口聯絡人,['39253']
海關巡緝艇資料,['23987']
海關犬隊協助其他機關查緝次數,['38742']
海關監管保稅倉庫清冊,['8262']
海關相關公(工)會名冊,['8265']
海關線上簡易申辦(免憑證)統計表,['32062']
海關績優自主管理專責人員名冊,['38734']
海關臉書粉絲及朋友年度統計,['32063']
海關行政組織系統及機關地址、服務電話,['17041']
海關課徵反傾銷稅案執行成效,['17044']
海關近人數配置統計表,['17043']
海關退休人數統計表,['17042']
海關進出口貿易統計,['6053']
海關進出口貿易統計用計量單位代碼表,['23835']
海關進出口貿易統計資料說明表(一般貿易制度),['32064']
海關進口稅則資料,['80871']
海關關艇資料,['32065']
海關電子封條監控系統通關點設備及代碼檔,['17049']
海關電話傳真語音服務,['8278']
海難資訊,['7539']
海面天氣預報,['7776']
海面天氣預報-海面天氣預報(英文版),['15789']
消化性潰瘍新病人執行幽門桿菌清除治療比率 (西醫基層總額指標),['21278']
消化性潰瘍病人接受除菌藥物治療比率(疾病別指標),['39218']
消化性潰瘍病人開始治療以內有用口服抗發炎劑比率(疾病別指標),['39219']
消費力統計-各分位年度載具數量-資料集,['24827']
消費力統計-各分位縣市載具數-資料集,['24832']
消費力統計-各分位行業載具數-資料集,['24830']
消費力統計-各分位載具消費張數金額-資料集,['24831']
消費提振措施,['31552']
消費紅綠燈-國際化粧品,['11511']
消費紅綠燈-國際藥品,['9644']
消費紅綠燈-國際食品資料集,['9641']
消費者保護會-15項民生必需品賣場月均價參考資訊,['13917']
消費者保護會-主管法規,['48475']
消費者保護會-主管法規(英文版),['48484']
消費者保護會-保護會議事錄,['43270']
消費者保護會-各縣市受理件數統計,['27453']
消費者保護會-國際消費資訊,['25131']
消費者保護會-定型化契約應記載及不得記載事項,['48476']
消費者保護會-政策綱領,['94777']
消費者保護會-教育宣導-摺頁,['113451']
消費者保護會-教育宣導-海報,['113449']
消費者保護會-活動訊息,['25132']
消費者保護會-消費者保護新聞稿,['6421']
消費者保護會-消費者保護新聞稿(英文版),['48485']
消費者保護會-消費者保護方案,['27454']
消費者保護會-消費者保護計畫,['25438']
消費者保護會-消費資(警)訊,['6422']
消費者保護會-申訴及調解案件分類統計資料,['27452']
消費者保護會定型化契約範本,['92350']
消費者物價商品性質分類指數,['6305']
消費者物價基本分類指數,['6019']
消費者物價基本分類暨項目群指數,['9158']
消費者物價特殊分類指數,['8237']
消費者物價購買頻度別指數,['6021']
消費者端量測行動上網平均速率,['8258']
消費者貸款及建築貸款餘額,['6549']
消費通路發票統計-資料集,['24826']
消防人力,['9608']
消防及救護車輛裝備,['9609']
消防員工傷亡慰問暨急難濟助,['11967']
消防安全檢查列管對象,['12087']
消防安全檢查列管建築物,['12100']
消防安全檢查重大不合格場所,['7069']
消防安全設備審核認可產品,['8659']
消防安全設備查察處理,"['12099', '73254']"
消防安全設備檢修專業機構,['7066']
消防安全設備檢修申報,['12098']
消防專業技術人員,['7068']
消防機關水域救援統計,['7065']
消防水源,['9610']
消防緊急救護急救處置,['12097']
消防緊急救護服務,['12096']
消防署年度施政計畫,['11096']
消防署年度白皮書,['11095']
消防署年度預算,['12469']
消防署消防月刊,['11169']
液化石油氣安全檢查,['12095']
液化石油氣流量計檢查合格單資料集,['129722']
淡水河系水環境優化願景聯繫會報委員會議,['35099']
淨灘執行成效統計,['9957']
深溝水源生態園區介紹,['6310']
淹水潛勢圖,['25766']
淺談「易服社會勞動制度」--從公共事務管理觀點,['64867']
清寒僑生工讀補助人次,['6484']
清查人口統計-80歲以上近未使用健保卡者,['62550']
清查人口統計-90歲以上設有戶籍者,['62562']
清查人口統計-受贈百歲人瑞金鎖片當事人不知去向者,['62551']
清查人口統計-戶籍逕遷至戶政事務所者,['62553']
清查人口統計-未換發國民身分證者,['62552']
清流月刊,['11565']
清淨家園顧厝邊綠色生活網EcoLife宣導摺頁,['34840']
清淨手術術後使用抗生素超過3日比率(醫院總額指標),['18614']
清潔人員執行職務死亡濟助申請程序,['34929']
清潔生產中衛體系廠商名單,['80336']
清潔生產獲證廠商,['16399']
清潔生產與環境管理,['16398']
清潔隊員節慶祝活動,['30801']
清算銀行及經辦行名單,['9737']
測速執法設置點,['7320']
測速執法點取締件數資料,['13908']
港澳事務法規,['9090']
港澳季報,['55218']
港澳學生來臺就學法規,['55223']
港澳學生來臺就學網站,['55224']
港澳專科以上學校認可名冊,['97678']
港澳專科以上認可學校名冊,['37602']
港澳居民來臺統計表,['7890']
港澳居民網路申請入臺證年報表,['85650']
港澳旅遊資訊,['9092']
港澳留臺學生在臺工作法規,['55225']
港澳留臺學生在臺工作網站,['55226']
游離輻射防護法相關證照統計,['108763']
準備貨幣,['6533']
準備貨幣變動因素分析,['10754']
溫室氣體年排放量,['16059']
溫室氣體排放量清冊報告,['16024']
溫度分布,['96582']
溫度分布圖,['17123']
溫泉業務,['38876']
溫泉檢測,['61268']
溫泉露頭調查資料,['32504']
溶劑油經銷商名單,['8832']
溶劑類產品產品編號、名稱、包裝對照表,['13187']
滅火器藥劑更換及充填合格廠商,['7067']
滾動倉貯釋出量、庫存量,['62816']
滿潮預報圖-今日滿潮預報影像圖,['9198']
滿潮預報圖-後天滿潮預報影像圖,['9200']
滿潮預報圖-明日滿潮預報影像圖,['9199']
滿潮預報圖-第4天滿潮預報影像圖,['9201']
滿潮預報圖-第5天滿潮預報影像圖,['9202']
滿潮預報圖-第6天滿潮預報影像圖,['9203']
滿潮預報圖-第7天滿潮預報影像圖,['9204']
漁戶人口數,['44179']
漁戶數,['44168']
漁會信用部主要財務資料指標,['11184']
漁會信用部主要財務資料指標-依季別,['11156']
漁會單位人數暨應計保險費月報表,['34060']
漁會數,['87863']
漁會會員勞保月負擔保險費金額表,['6261']
漁會會員數,['87872']
漁業巡護,['9962']
漁業生產-魚貝苗生產值,['44087']
漁業生產-魚貝苗生產量,['44086']
漁業生產值,"['44085', '87896']"
漁業生產量,"['44084', '87894']"
漁業產銷班班數及班員數統計表,['41946']
漁業產銷班資料,['41944']
漁業署新聞稿,['25848']
漁業署認可HACCP外銷食品加工廠認可登錄廠商資料集,['30178']
漁業輿情,['7276']
漁產品交易行情,['7299']
漁產批發價格,['39556']
漁種別水產養殖面積統計資料,['73260']
漁筏籍基本資料,['41903']
漁船保險補助各直轄市、縣市申請統計表,['41744']
漁船保險補助歷年統計表,['41745']
漁船保險補助漁會申請統計表,['41743']
漁船基本資料,['46800']
漁船歷年進出港紀錄,['40642']
漁船船員訓練線上報名系統,['73166']
演唱會,['6013']
漢學出版品書目資料,['7503']
漢聲電臺收聽頻率及各分臺節目表,['8440']
潮位統計,['98773']
潮台灣影音頻道數據分析,['33416']
潮汐表-明年高低潮時潮高預報,['9205']
潮汐預報-未來1個月潮汐預報,['7038']
潮高預報,['7775']
澎湖南方4島國家公園物種調查結果,['37476']
澎湖縣住宅單位數,['24800']
澎湖縣住戶數、常住人口數及平均每戶人口數,['24776']
澎湖縣工商及服務業場所單位年底從業員工人數及全年薪資,['15747']
澎湖縣工商及服務業場所單位經營概況,['15723']
澎湖縣常住人口之年齡結構(不含外籍勞工),['20722']
澎湖縣常住人口之性比例(不含外籍勞工),['18538']
澎湖縣常住人口數及人口密度,['18516']
澎湖縣榮民服務處公務電話一覽表,['7207']
澎湖縣水量水質自動監測連線傳輸監測紀錄值即時資料集,['35123']
澎湖縣海域漁業海水溫預警,['98749']
澎湖縣重要環保統計資料,['9146']
澎湖縣１５歲以上常住人口之婚姻狀況,['22406']
澎湖縣１５歲以上常住人口之教育程度,['20745']
澎湖縣１５歲以上民間常住人口之工作狀況,['22434']
澎湖縣５歲以上常住人口之遷徙情形,['24261']
澎湖縣６歲以上常住人口之工作地及就學地狀況,['24299']
澎湖馬公機場入境人次預報,['126783']
澎湖馬公機場出境人次預報,['126802']
澳洲籍人士註冊我國自動通關人數,['104777']
澳門事務處最新消息一覽表,['52574']
澳門居民來臺居留、定居人數統計表,['97674']
澳門情勢資料庫,['55216']
濫用藥物尿液檢驗機構認可實地評鑑委員名單資料集,['20555']
濫用藥物尿液檢驗機構認可審議委員會委員名單資料集,['20556']
火化場設施概況,['13956']
火災事件資料,['13764']
火災出動人員、車輛及裝備,['11956']
火災死傷人數及財物損失1,['11955']
火災發生時間,['11954']
火災起火原因,['11953']
火災起火處所,['11952']
火災類別,['11951']
火焚、污破損新臺幣券幣鑑定暨兌換作業,['6431']
火點資料,['110941']
災區受災勞工保險與就業保險被保險人保險費支應及傷病給付辦法,['48203']
災區志工人力志工服務通報表,['77136']
災害事件衛星影像判識成果,['109135']
災害性天氣之定義,['10313']
災害防救業務訪評總結報告,['13913']
災害防救演習成果總結報告,['13912']
災後復建審議資訊案件,['27525']
災情案件資料,['12851']
災情通報表(水庫或堰壩),['77176']
災情通報表(河川、海岸、區域排水),['77177']
災情通用通報表,['77343']
災民收容場所網址,['17501']
為民服務單1諮詢窗口,['40512']
為民服務地點通訊錄(RDF),['8666']
焚化廠基本資料,['6365']
焚化廠底渣原始檢測資料,['6371']
焚化廠營運年報,['6367']
焚化廠營運月報,['6366']
焚化廠空污監測資料,['6368']
焚化廠飛灰穩定化檢測資料,['88283']
焚化爐廠區範圍圖,['6389']
焚化爐煙囪位置圖,['8341']
無人繼承遺產賸餘現金繳庫一覽表,['41136']
無名屍查詢--資訊活化,['13937']
無名屍資料,['10035']
無形資產評價產業專業人才需求調查,['80338']
無形資產評價訓練機構,['119144']
無故不參加道安講習等(24條)性別統計,['33697']
無照駕駛等(21條)性別統計,['33696']
無線寬頻接取業務業者名單,['6831']
無線廣播事業一覽表,['6871']
無線廣播事業核處資料,['7156']
無線廣播員工人數、主管人數統計,['24199']
無線廣播營運概況統計,['24184']
無線廣播電台播放節目依播出語言分之時數統計,['24196']
無線廣播電台播放節目按節目類型分之時數統計,['24197']
無線廣播電台播放節目按自製、外製、聯播分之時數統計,['24195']
無線調幅(AM)廣播電臺頻率及發射機位址,['6446']
無線調頻(FM)廣播電臺頻率及發射機位址,['6445']
無線電視事業一覽表,['6872']
無線電視事業核處資料,['7157']
無線電視員工人數、主管人數統計,['24200']
無線電視營運概況統計,['24183']
無線電視頻道播放節目來源比例,['24191']
無線電視頻道播放節目依發音分之時數統計,['24192']
無線電視頻道播放節目按節目類型分之時數統計,['24194']
無線電視頻道播放節目按製作規格分之時數統計,['24190']
無線電視頻道播放節目時數與比例,['24189']
無線電頻率使用費收費標準,['7174']
無障礙旅遊行程,['38830']
無障礙網頁標章統計,['8354']
煙道即時量測值(氣狀污染物、排放流率)彰化縣EPB,['34743']
煙道即時量測值資料檔(不透光率)彰化縣環保局,['34519']
煙道基本參數檔彰化縣EPB,['34520']
煤油經銷商名單,['8831']
照明燈具類驗證登錄證書資料集,['32640']
熱量攝取與3大營養素提供百分比-依年齡別分,['14499']
燁聯鋼鐵股份有限公司及唐榮鐵工廠股份有限公司申請對自中國大陸及韓國產製進口不銹鋼冷軋鋼品繼續課徵反傾銷稅案,['123902']
燁聯鋼鐵股份有限公司及唐榮鐵工廠股份有限公司申請對自中國大陸及韓國產製進口之不銹鋼冷軋鋼品課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,['25810']
燁聯鋼鐵股份有限公司及唐榮鐵工廠股份有限公司申請對自中國大陸及韓國產製進口之不銹鋼冷軋鋼品課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害最後調查公開資料,['25816']
燁聯鋼鐵股份有限公司申請對自德國及義大利進口熱軋不銹鋼捲課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,['22989']
燈塔燈質表,['28142']
營利事業單位數統計表,"['36747', '36921']"
營利事業家數,"['8467', '90556']"
營利事業所得稅暫繳申報手冊,['25657']
營利事業所得稅暫繳申報收件統計表,['7387']
營利事業所得稅稅率及速算公式,['8701']
營利事業所得稅結算、基本稅額暨未分配盈餘申報收件統計表,['8456']
營利事業所得稅結算申報-使用作業系統統計,['49075']
營利事業所得稅結算申報手冊,['25189']
營利事業所得稅結算申報統計(大類行業),['28400']
營利事業所得稅結算申報統計(組織種類),['28401']
營利事業所得稅結算申報統計(縣市),['28402']
營利事業所得稅結算申報繳稅方式統計,['48279']
營利事業按收入級距核定情形統計表,"['36734', '36919']"
營利事業營業家數按負責人性別及縣市別統計,['25213']
營利事業銷售額,"['8468', '90558']"
營建工程業企業單位使用勞動派遣、研究發展、創新活動、自有品牌及環保支出概況,['111891']
營建工程業企業單位全年各項支出,['111815']
營建工程業企業單位全年各項收入,['111814']
營建工程業企業單位各項生產力及經營效率,['111817']
營建工程業企業單位實際運用資產淨額,"['111811', '111812', '111813']"
營建工程業企業單位年底從業員工人數及全年薪資,"['111808', '111809', '111810']"
營建工程業企業單位數,"['111818', '111819', '111820', '111889']"
營建工程業企業單位營運數位化概況,['111890']
營建工程業企業單位生產淨額,['111816']
營建工程業企業單位經營概況,"['111804', '111805', '111806', '111807']"
營建工程業場所單位年底從業員工人數及全年薪資,"['122314', '122315']"
營建工程業場所單位數,"['122316', '122317', '122318', '122319']"
營建工程業場所單位經營概況,"['122312', '122313']"
營建建設基金會計月報,['19872']
營建建設基金決算,['21011']
營建建設基金預算案及法定預算,['21058']
營建署事業廢棄物再利用機構資料,['34948']
營建署代辦工程資料,['12058']
營建署年度預算,['15562']
營建署支付或接受之補助經費資料,['12043']
營建署會計月報,['21622']
營建署決算,['21716']
營建署補助(公務預算),['15235']
營建署補助(基金預算),['15236']
營所稅受理災害損失報備情形統計表,['102001']
營業人辦理集中購買及網路申購統1發票作業說明,['25488']
營業據點分布概況,['9105']
營業秘密問答集,['22320']
營業秘密法規資訊,['25647']
營業稅之檢討,['11840']
營業稅簡介,['25458']
營業稅繳稅方式說明,['25670']
營業稅電子資料申報繳稅作業要點,['25433']
營業許可執照資料,['28864']
營業里程及車站數,['33387']
營業項目代碼( F零售、批發及餐飲業 )查公司,['45623']
營造國際友善環境工作手冊,['31641']
營造國際生活環境宣導教材,['31783']
營造國際生活環境歷次建設計畫,['31711']
營造安全鋼管施工架生產廠商資料,['44045']
營造工程物價指數,['8246']
營造廢棄物排放帳,['9759']
營造業家數,['13462']
營造業廠商空缺員工僱用條件概況,['36796']
營運中公有掩埋場掩埋場容量統計表,['9370']
營運中工廠家數之地理分布圖,['37314']
營運明細資料表,['61274']
營運總部認定函仍具效期之企業名單,['8289']
爆炸物管理員訓練統計表,['8699']
爆破專業人員訓練班統計,['9700']
爆竹煙火安全檢查,['12094']
爆竹煙火製造儲存場所一覽表,['7070']
爆竹煙火違法取締,['12093']
爭議審議案件結案情形統計,['25763']
爭議類型統計表--保險業-產物保險公司-理賠(財團法人金融消費評議中心),['11910']
爭議類型統計表-保險業-人壽保險公司-理賠(財團法人金融消費評議中心),['11908']
爭議類型統計表-保險業-人壽保險公司-非理賠(財團法人金融消費評議中心),['11909']
爭議類型統計表-保險業-保險輔助人-理賠(財團法人金融消費評議中心),['11912']
爭議類型統計表-保險業-保險輔助人-非理賠(財團法人金融消費評議中心),['11913']
爭議類型統計表-保險業-產物保險公司-非理賠(財團法人金融消費評議中心),['11911']
爭議類型統計表-證券期貨業(財團法人金融消費評議中心),['11914']
爭議類型統計表-銀行業(財團法人金融消費評議中心),['11907']
版國家賠償法施行細則解釋彙編,['15179']
版國家賠償法解釋彙編,['15177']
版縣市社會脆弱度指數,['130018']
版近淹水災點資料,['130016']
牌告利率每季申報資料,['62982']
牙周疾病控制基本處置執行率 (牙醫門診總額指標),['24903']
牙周病案件比率 (牙醫門診總額指標),['24904']
牙醫基層院所假日看診統計資料,['39308']
牙醫總額專業醫療服務品質指標統計報表-季報,"['13095', '13097', '13099', '13101', '13103', '13105', '13107', '13109', '13111', '13113', '39297', '39298', '54358', '103793']"
牙醫總額專業醫療服務品質指標統計報表-年報,"['13096', '13098', '13100', '13102', '13104', '13106', '13108', '13110', '13112', '39287', '39299', '54357']"
牙醫門診總額牙周病統合照護計畫參加院所及醫師名單,['39277']
牙醫門診總額特殊醫療服務試辦計畫提供特定身心障礙者牙醫服務之院所及醫師名單,['39279']
牙齒填補保存率-乳牙6個月以內 (牙醫門診總額指標),['24905']
牙齒填補保存率-以內 (牙醫門診總額指標),['24906']
牛海綿狀腦病專家諮詢會委員名單資料集,['9834']
牛海綿狀腦病專家諮詢會議紀錄資料集,['11503']
牡丹水庫即時水情資訊,['32735']
牡丹水庫集水區範圍圖,['58348']
物價指數統計網址連結,['44211']
物品管理手冊,['10894']
物流中心名冊,['8267']
物種分布調查,['7280']
物種地理座標驗證工具,['7560']
物聯網產業大聯盟推動情形,['57491']
特優村里長名冊,['111757']
特別決算,['10985']
特別補償基金統計表,['14505']
特定人員尿液採驗辦法,['120736']
特定化學物質作業檢查情形(年度),['43252']
特定檢查項目(血(尿)中鉛、尿中鎳、尿中無機砷、尿中鎘、血(尿)中汞、尿中鉻及血清銦等)檢驗之機構名單,['43258']
特定水土保持區範圍圖,"['103772', '103774']"
特定用途化粧品仿單或外盒資料集,['9582']
特定用途化粧品許可證資料集,['9580']
特定用途化粧品詳細處方成分資料集,['9581']
特定金錢信託業務共通性費用資訊,['11717']
特有生物研究保育中心(植物),['24916']
特有生物研究保育中心蛾類調查資料集,['106249']
特殊學校特教合格老師數統計,['31660']
特殊性工業區人工操作監測值資料檔,['119290']
特殊性工業區即時監測值資料檔 (一般空氣污染物),['32941']
特殊性工業區即時監測值資料檔 (氣象監測項目),['32950']
特殊性工業區品保品管後監測值資料檔(一般空氣污染物),['119287']
特殊性工業區品保品管後監測值資料檔(有機光化前驅物),['119289']
特殊性工業區品保品管後監測值資料檔(氣象監測項目),['119288']
特殊性工業區測站資訊,['32951']
特殊教育學校各教育階段學生數統計,['31659']
特殊教育學校各教育階段班級數統計,['31658']
特殊教育學校名錄,['6285']
特殊教育學校概況,['31450']
特殊教育概況,['31451']
特殊空品測站位置圖,['28198']
特生中心慕光之城蛾類時空分布資料集,['106248']
特種基金歲計會計資訊管理系統推動簡介,['10965']
特種貨物稅稽徵統計表,['38763']
特約醫事服務機構承作健保計畫及服務情形,['39309']
特色圖書館,['6222']
特色郵筒設置地點,['52781']
犯罪被害人保護協會預算書,"['103136', '128213']"
犯罪被害補償事件殯葬費項目金額參考表,['95647']
犯罪資料,['14200']
犯罪資料統計數據,['13166']
犯罪重要統計指標,['32990']
犯罪防治研究論文集,['70563']
犯罪預防及法治教育行動方案,['13598']
獄政管理資訊系統-重要應用系統簡介,['13013']
獄政衛生醫療子系統-重要應用系統簡介,['14133']
獎勵民眾檢舉違反水污染防治法案件指導原則,['35084']
獎勵運動產業專題研究,['24063']
獎補助已結案核銷案件,['24171']
獨立書店,['6224']
獨立音樂,['6006']
獨立高級中等進修學校名錄,['6090']
獲得學行優良僑生獎學金人數,['6482']
獲頒僑務委員會獎章人數,['68583']
獲頒創業4十年以上歷史悠久廠商感謝狀名單,['41465']
獸醫師(佐)開業執照,['8705']
玉山國家公園(第3次通盤檢討)計畫分區圖,['45446']
玉山國家公園2通變範圍圖,['7450']
玉山國家公園3通範圍圖,['31978']
玉山國家公園停機坪點位,['7452']
玉山國家公園山峰點位,['7453']
玉山國家公園服務中心,['26497']
玉山國家公園生態保護區核准統計,['37470']
玉山國家公園簡易炊煮區及吸菸區點位,['93173']
玉山國家公園遊客中心點位,['107488']
玉山國家公園避難山屋點位,['7449']
玩具商品標示基準,['16965']
玩具類驗證登錄證書資料集,['32637']
現代出版社發行叢書,['127849']
現任長公開行程活動影音,['48551']
現住人口性別、年齡、婚姻狀況,['14302']
現住人口性別、年齡、婚姻狀況(含同婚),['117986']
現住人口數,"['32974', '127525']"
現住人口數按性別及原住民身分分(新增區域代碼),['77145']
現住原住民人口,['32971']
現住原住民人口按性別、年齡,['32946']
現住原住民人口按性別、年齡(新增區域代碼),['77129']
現住原住民人口按性別、身分、原住民族別分(新增區域代碼),['77052']
現年劑量達1毫西弗以上輻射屋查詢系統,['119873']
現有公司登記家數,"['29253', '29261', '29275']"
現有公司登記資本額,"['29267', '29272']"
現有商業登記家數,"['29263', '29270']"
現有商業登記資本額,"['29274', '29278']"
現有農機數,['95614']
現行商標法規資訊,['25648']
現行專利法規資訊,['25645']
現行政務人員及一般公務人員(常務人員)各職等待遇對照表,['63245']
現行著作權法規資訊,['25644']
現金卡發卡銀行差別利率彙整,['11827']
現金卡發卡銀行收取各項費用彙整,['11826']
現金卡重要業務及財務資訊,['45210']
現金卡重要業務及財務資訊揭露,['10529']
理賠教育訓練下載 (財團法人住宅地震保險基金),['13549']
理賠教育訓練統計表 (財團法人住宅地震保險基金),['11431']
理賠文件下載 (財團法人住宅地震保險基金),['13548']
理賠課程清冊 (財團法人住宅地震保險基金),['11432']
瑕疵除濕機回收召回訊息,['63041']
瑞士洛桑管理學院(IMD)世界競爭力,['22122']
瑠公農田水利會灌溉水質監測結果,['35485']
環保人員數,['45151']
環保低碳活動,['9843']
環保專案摘要資料,['6393']
環保專案摘要資料_公害糾紛,['37220']
環保專案摘要資料_其他,['37222']
環保專案摘要資料_區域環境管理,['37198']
環保專案摘要資料_噪音振動,['37199']
環保專案摘要資料_國際性議題,['37223']
環保專案摘要資料_土壤及地下水,['37218']
環保專案摘要資料_大氣空氣,['37219']
環保專案摘要資料_廢棄物管理,['37224']
環保專案摘要資料_毒物管理,['37197']
環保專案摘要資料_水質保護,['37221']
環保專案摘要資料_環境影響評估,['37228']
環保專案摘要資料_環境教育,['37225']
環保專案摘要資料_環境監測及檢測,['37227']
環保專案摘要資料_環境衛生,['37229']
環保專案摘要資料_環境資訊系統,['37226']
環保專業訓練近期開班訊息,['34984']
環保專責(技術)人員合格證書申請表,['35160']
環保專責(技術)人員訓練簡章,['35159']
環保新聞,['6298']
環保旅店旅館資訊,['34955']
環保標章審議會決議事項,['28217']
環保標章廠商資料,['28215']
環保標章檢測項目,['28216']
環保標章產品(環保產品),['8815']
環保標章產品審查通過及有效數資料(第1類),['16033']
環保標章產品審查通過及有效數資料(第2類),['28169']
環保標章規格標準,['28240']
環保標章認證實驗室資料,['28237']
環保標章驗證機構資料,['28239']
環保消息公告,['9706']
環保署促參案件管考,['71457']
環保署公職人員財產申報統計表,['35196']
環保署公聽會資料,['6525']
環保署及地方政府「水區、水體分類」公告說明表,['35081']
環保署基金會名錄,['9147']
環保署工程施工查核小組、問答集,['34894']
環保署年度施政績效報告,['71456']
環保署廉政會報會議紀錄,['35195']
環保署書面之公共工程及採購契約,['35381']
環保署環境影響評估審查委員會委員名單,['34860']
環保署環境影響評估審查委員會會議紀錄,['35155']
環保署社會參與辦理情形,['35193']
環保署考核直轄市及縣(市)政府環境保護績效作業要點,['70558']
環保署職員官等性別統計資料,['9148']
環保署裁罰處分,['10165']
環保署補、捐(獎)助團體及個人情形表,['9056']
環保署補、捐(獎)助地方政府情形表,['9053']
環保署補助地方政府設置完成之現地處理設施,['35103']
環保署遊說法辦理情形,['35194']
環保自然葬地點,['53681']
環保設備廠商資料庫,['32447']
環保證照訓練近期開班訊息,['72349']
環保集點制度補助作業要點,['47252']
環境保護工程設施災情通報表,['77174']
環境保護署「資料開放諮詢小組」委員名單,['27302']
環境保護署「資料開放諮詢小組」會議紀錄,['27554']
環境保護署「資料開放諮詢小組」會議資料,['29279']
環境保護署事業廢棄物再利用機構資料,['34954']
環境保護署公害糾紛督導處理小組組織規程,['34897']
環境保護署前瞻基礎建設計畫特別預算會計月報,['71341']
環境保護署單位決算,['31987']
環境保護署單位預算案,['31988']
環境保護署年度施政計畫,['90392']
環境保護署政府資料開放行動計畫,['104215']
環境保護署會計月報,['20264']
環境保護署毒物及化學物質局單位決算,['99805']
環境保護署毒物及化學物質局單位預算案,['40088']
環境保護署毒物及化學物質局會計月報,['35167']
環境保護署毒物及化學物質局法定預算,['35168']
環境保護署法定預算,['31989']
環境保護署環境保護人員訓練所單位決算,['31994']
環境保護署環境保護人員訓練所單位預算案,['31995']
環境保護署環境保護人員訓練所會計月報,['31997']
環境保護署環境保護人員訓練所法定預算,['31993']
環境保護署環境保護基金附屬單位會計月報,['32001']
環境保護署環境保護基金附屬單位決算,['31998']
環境保護署環境保護基金附屬單位法定預算,['31999']
環境保護署環境保護基金附屬單位預算案,['32000']
環境保護署環境保護產品申請審查作業規範,['34887']
環境保護署環境保護產品管理作業規範,['34888']
環境保護署環境保護產品證書規費收費標準,['34885']
環境保護署環境保護產品驗證機構管理要點,['34889']
環境保護署環境教育人員認證展延申請書,['34969']
環境保護署環境教育人員認證展延研習開課申請書,['34972']
環境保護署環境教育機構認證展延申請書,['34970']
環境保護署環境教育設施場所認證展延申請書,['34971']
環境保護署環境檢驗所單位決算,['32003']
環境保護署環境檢驗所單位預算案,['32004']
環境保護署環境檢驗所會計月報,['32005']
環境保護署環境檢驗所法定預算,['32002']
環境保護署補助地方政府自行車道路線資料,['28238']
環境保護許可管理系統(暨解除列管)對象基本資料,['118447']
