1032里防災避難地圖,['124713']
電動機車充電站,"['122886', '122911', '122916', '122921', '122922', '122923', '122954', '122981', '122982', '122985', '122986', '122987', '122994', '123002', '123004', '123019', '123028', '123045', '123060', '123062', '123066', '123068', '123070', '123071', '123092', '123094', '123098', '123107', '123119', '123122']"
電動汽車充電站,"['122888', '122889', '122898', '122905', '122909', '122926', '122931', '122934', '122938', '122992', '122999', '123001', '123011', '123014', '123016', '123021', '123037', '123055', '123058', '123067', '123087', '123089', '123110', '123128', '123129', '123132']"
電器承裝業清冊,['123605']
電子公布欄,['126430']
電影院名冊,['125230']
非健保特約藥局名單,['125641']
非海洛因醫療戒癮門診資訊,['124582']
非營利幼兒園名錄,['124085']
非都市土地使用分區筆數及面積,['125634']
非都市土地使用分區面積,['123040']
非都市土地使用編定面積,['122947']
預算數及執行數共同比(執行率),"['123574', '123613', '124108', '124449', '124501', '125061', '125147', '125293']"
領有駕駛執照數,['125713']
颱風來襲管制區域,['125269']
颱風期間各型移動式抽水機佈設資訊,['124083']
食品工廠清冊,['127936']
食品抽驗資料,['127887']
食品業者登錄數,['127888']
飲酒減量醫療戒治服務,['123632']
餐飲業者,"['122943', '123086', '126423', '126425']"
騎樓整平各年度施作路段(統計至底),['124301']
骨科醫療機構,['125581']
高再犯危險之性侵害加害人人數統計表(修正版),['124386']
高等教育,['125472']
高級中等學校及國民中小學原住民族學生數,['125563']
高級中等教育-專業群(職業)科,['123873']
高級中等教育-普通科及綜合高中,['126026']
麻醉科醫療機構,['124382']
黃金資收站資訊,"['122930', '122951', '123292', '123351', '123409', '123421', '123471', '123515', '123889', '123892', '123895', '123898', '123912', '123963', '123986', '124118', '124277', '124334', '124479', '124904', '125119', '125149', '125156', '125410', '125446', '125728', '125841', '125901']"
齒顎矯正科醫療機構,['125069']
