2十9大類股營收變化統計表,['25038']
聯合信用卡處理中心風險特店管制暨沒收卡統計,['11704']
職業類別持卡人於十6縣消費樣態,['38329']
股價指數類期貨商品每月平均成交金額,['46580']
股價指數類選擇權商品每月平均成交金額(權利金),['49083']
股東常會電子投票公司資訊,['20642']
股東臨時會電子投票公司資訊,['20643']
股票期貨/選擇權契約調整資訊,['11341']
股票期貨交易標的,['22644']
股票期貨契約調整開盤參考價,['11342']
股票選擇權交易標的,['22646']
臺指選擇權Put/Call比,['11322']
臺灣證券市場綜覽,['11138']
臺灣跨市場指數 > 寶島股價指數歷史資料,['11669']
臺灣跨市場指數 > 每日上市上櫃跨市場成交資訊,['11668']
臺閩地區金融機構存放款餘額,['28788']
與FTSE合作編製指數 > 臺灣 50 指數歷史資料,['11670']
興櫃保管有價證券週餘額表,['20608']
興櫃公司基本資料,['28568']
興櫃公司每月營業收入彙總表,['94025']
興櫃公司綜合損益表-一般業,['97140']
興櫃公司綜合損益表-保險業,['97142']
興櫃公司綜合損益表-異業,['97143']
興櫃公司綜合損益表-證券期貨業,['97139']
興櫃公司綜合損益表-金控業,['97141']
興櫃公司綜合損益表-金融業,['97138']
興櫃公司董監事持股餘額明細資料,['107015']
興櫃公司資本額排名,['33351']
興櫃公司資產負債表-一般業,['97134']
興櫃公司資產負債表-保險業,['97136']
興櫃公司資產負債表-異業,['97137']
興櫃公司資產負債表-證券期貨業,['97133']
興櫃公司資產負債表-金控業,['97135']
興櫃公司資產負債表-金融業,['97156']
興櫃公布注意有價證券資訊,['43471']
興櫃推薦證券商與推薦之股票,['30873']
興櫃當日行情表,['11398']
興櫃股票市場現況,['11399']
興櫃股票每股市值、本益比、週轉率之比較(年報),['130035']
興櫃股票每股市值、本益比、週轉率之比較_NEW,['104192']
興櫃股票當日行情表,['11747']
興櫃股票發行及資本變動統計表_NEW,['103537']
興櫃處置有價證券資訊,['43470']
菁業獎,['11575']
董事會名冊 (財團法人住宅地震保險基金),['11441']
董監事及大股東持股質押比例>50%統計資料,['10574']
董監事及大股東持股質押比例統計資料,['10577']
董監事成員(財團法人汽車交通事故特別補償基金),['11531']
融資融券與可借券賣出額度 > 停資停券預告表,['11679']
融資融券與可借券賣出額度 > 融資融券餘額,['11680']
衍生性金融商品名目本金餘額(商品別),['15969']
補償案件處理概況(財團法人汽車交通事故特別補償基金),['11520']
補償案例資訊(財團法人汽車交通事故特別補償基金),['14517']
補償業務產險公司資訊連結,['31117']
複委託期貨商每股淨值明細表,['22659']
複委託期貨商每股稅前盈餘統計表,['24232']
複委託期貨商稅前損益排序表,['24233']
複委託期貨商稅前累計損益彙總表,['24234']
複委託期貨商稅前累計損益明細表,['24235']
要保機構名單,['11262']
認購售權證月分析表,['11463']
證交所活動訊息,['11186']
證券、期貨、投顧、投信業從業人員性別分析,['31772']
證券商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較_NEW,['104014']
證券商分公司基本資料,['44723']
證券商基本資料,['20765']
證券商常見缺失,['10492']
證券商服務 > 證券商總公司基本資料,['11545']
證券商營業員男女人數統計資料,['44722']
證券商董事監察人及大股東持股質押資訊揭露_個人,['129366']
證券商董事監察人及大股東持股質押資訊揭露_全體,['129369']
證券基本資料,['11425']
證券市場股價指數變動概況表_NEW,['103959']
證券投資信託事業常見或重大缺失及態樣彙整表,['10544']
證券投資信託事業申請募集發行證券投資信託基金,['72738']
證券投資信託基金每日淨值,['11109']
證券投資信託基金發行概況表-依基金投資標的分類_NEW,['103542']
證券投資信託基金發行概況表-依基金類型分類_NEW,['103541']
證券投資信託基金發行概況表-境外基金國人投資概況_NEW,['103543']
證券服務事業家數統計表_NEW,['104010']
證券期貨局單位決算,['10406']
證券期貨局單位預算,['10384']
證券期貨局會計月報,['19222']
證券業家數,['11133']
證券業從業員工人數統計表,['31774']
證券業營業收支,['11134']
證券變更交易,['11760']
證基會年度筆試測驗時程表,['11683']
證基會每月精彩實務課程一覽,['11682']
證金公司基本資料,['44658']
財團法人保險事業發展中心最新訊息,['44728']
財團法人保險安定基金之會員公司基本資料(財團法人保險安定基金),['11894']
財團法人汽車交通事故特別補償基金出國報告,['44711']
財團法人汽車交通事故特別補償基金宣導廣播,['44712']
財團法人汽車交通事故特別補償基金決算,['13512']
財團法人汽車交通事故特別補償基金預算,['13511']
財團法人金融消費評議中心評議案件性別統計,['113826']
財產保險業保費收入統計表_NEW,['104086']
財產保險業保險賠款統計表(月報)_NEW,['104111']
財產保險業務人員成績公佈與複查時間表,['30095']
財產保險業務考試測驗日期及測驗地區,['30094']
財產保險業資金運用表(保險事業發展中心),['13522']
財產保險申訴案件統計表,['14503']
財金校園及通識教育金融課程,['11693']
資料開放集清單,['30288']
資金流動狀況統計表,['11139']
資金貸與及背書保證作業程序訂定面及執行面常見缺失_NEW,['119788']
資金運用(財團法人汽車交通事故特別補償基金),['11528']
資金運用狀況 (財團法人住宅地震保險基金),['11430']
轉(交)換債發行資料下載,['11406']
轉(交)換公司債買賣斷券商買賣日報表,['87892']
農會信用部主要財務資料指標,['11155']
農會信用部主要財務資料指標-依季別,['11154']
迄今併購案件,['10693']
造市商與造市之黃金現貨,['32442']
違反董事會議事辦法常見缺失案例說明,['10509']
選擇權各類交易人各商品交易量統計表,['24267']
選擇權商品造市者清單,['20673']
選擇權大額交易人未沖銷部位資料,['11338']
選擇權每日Delta值,['11321']
選擇權每日交易行情,['11320']
郵局代收代驗信用報告申請書便民措施,['11729']
重要公告(中華民國保險代理人商業同業公會),['15307']
重要活動訊息 (財團法人住宅地震保險基金),['13546']
金管會保險局採購目錄,['119296']
金管會動態訊息,['33102']
金管會及所屬性別統計(中央存保),['11180']
金管會及所屬性別統計(本會及所屬各局),['11179']
金管會各機關公款補助團體私人情形季報表,['10427']
金管會採購契約目錄,['10316']
金管會採購目錄,['119292']
金管會新聞稿,['6040']
金管會施政計畫,['33103']
金管會最新法令函釋,['10294']
金管會檢查局採購目錄,['119297']
金管會民意信箱FAQ,['11024']
金管會法規草案預告,['10296']
金管會莫拉克颱風災後重建特別決算,['10424']
金管會證券期貨局採購目錄,['119295']
金管會資料開放諮詢小組會議紀錄,['16192']
金管會辦理國家賠償事件收結情形,['10310']
金管會重大裁罰案件,['10292']
金管會重要公告,['10299']
金管會金融資料開放政策綱領,['26798']
金管會銀行局採購目錄,"['119293', '119294']"
金管會銀行局開放資料清單,['29216']
金融債發行資料下載,['11404']
金融創新指數,['46650']
金融控股公司總機構一覽表,['28775']
金融控股公司設立情形表,['10689']
金融控股公司財務及業務比率表,['28786']
金融服務業申訴案件及申訴率統計表-人壽保險業(財團法人金融消費評議中心),['11898']
金融服務業申訴案件及申訴率統計表-產物保險業(財團法人金融消費評議中心),['11899']
金融服務業申訴案件統計表-保險輔助人(財團法人金融消費評議中心),['11900']
金融服務業申訴案件統計表-證券期貨業(財團法人金融消費評議中心),['11901']
金融服務業申訴案件統計表-銀行業(財團法人金融消費評議中心),['11897']
金融服務業申請評議案件及比率統計表-人壽保險業(財團法人金融消費評議中心),['11903']
金融服務業申請評議案件及比率統計表-產物保險業(財團法人金融消費評議中心),['11904']
金融服務業申請評議案件統計表-保險輔助人(財團法人金融消費評議中心),['11905']
金融服務業申請評議案件統計表-證券期貨業(財團法人金融消費評議中心),['11906']
金融服務業申請評議案件統計表-銀行業(財團法人金融消費評議中心),['11902']
金融服務欠缺地區鄉鎮名單_NEW,['119808']
金融機構主要檢查缺失-信用合作社,['10438']
金融機構主要檢查缺失-壽險公司,['10442']
金融機構主要檢查缺失-外國銀行,['10437']
金融機構主要檢查缺失-本國銀行,['10436']
金融機構主要檢查缺失-產險公司,['10443']
金融機構主要檢查缺失-票券金融公司,['10439']
金融機構主要檢查缺失-證券商,['10440']
金融機構主要檢查缺失-證券投資信託公司,['10441']
金融機構主要檢查缺失-金融控股公司,['10435']
金融機構出售不良債權之季報表_NEW,['119810']
金融機構出售不良債權之彙總表_NEW,['119734']
金融機構員工人數,['28773']
金融機構國內總、分行存款餘額_NEW,['104084']
金融機構國內總、分行放款餘額_NEW,['104090']
金融機構基本資料查詢,['6041']
金融機構家數_NEW,['104088']
金融機構家數統計,['28774']
金融機構損益概況_NEW,['104099']
金融機構損益簡表,['15970']
金融機構發行金融卡及裝設ATM統計_NEW,['104094']
金融機構自動化服務機器概況表,['28780']
金融機構警示帳戶調查統計表_NEW,['119809']
金融機構資產、淨值_NEW,['104098']
金融機構逾放比率_NEW,['104102']
金融機構逾放金額_NEW,['104104']
金融檢查執行情形,['10444']
金融檢查重點_信用合作社,['119655']
金融檢查重點_壽險公司,['119658']
金融檢查重點_外國銀行,['119651']
金融檢查重點_本國銀行,['119653']
金融檢查重點_產險公司,['119656']
金融檢查重點_票券金融公司,['119657']
金融檢查重點_證券商,['119660']
金融檢查重點_證券投資信託公司,['119659']
金融檢查重點_金融控股公司,['119654']
金融監督管理基金會計月報,"['19394', '108112', '119073']"
金融監督管理基金決算,['10398']
金融監督管理基金預算,['10375']
金融研究發展基金決算_NEW,['119916']
金融研究發展基金預算_NEW,['119915']
金融研訓院兩岸業務資訊,['14042']
金融研訓院國內舉辦活動,['11694']
金融研訓院國際合作活動資訊,['14041']
金融研訓院暢銷書榜前10名,['15855']
金融研訓院最近課程人數統計,['21856']
金融研訓院法定班次,['14043']
金融研訓院網站歷年瀏覽統計,['27937']
金融研訓院網路書店新書快訊,['13026']
金融研訓院網路書店證照測驗/就業/檢定書籍資訊,['13028']
金融研訓院網路書店銀行家雜誌資訊,['13027']
金融研訓院線上學習課程資訊,['33599']
金融研訓院菁英講座觀點影片,['30254']
金融研訓院證照測驗資訊,['15226']
金融研訓院近取得金融證照人數統計,['17246']
金融研訓院近期課程,['14044']
金融研訓院金融就業服務,['13025']
金融研訓院金融情勢週報,['15227']
金融研訓院金融研究兩岸金融電子報資訊,['15229']
金融研訓院金融研究研討會與座談會資訊,['15228']
金融研訓院金融研究計畫資訊,['15230']
金融研訓院金融研訓院最新消息,['37231']
金融研訓院金融訓練熱門專區,['23891']
金融研訓院金融訓練精選課程,['13312']
金融研訓院金融證照筆試測驗最新歷屆試題,['20323']
金融研訓院銀行高階主管指數,['32291']
金融科技諮詢小組委員名單,['33101']
金融聯合徵信中心不同性別信用卡平均每戶循環信用金額統計表,['54488']
金融聯合徵信中心不同性別信用卡平均每戶應收帳款金額統計表,['54486']
金融聯合徵信中心不同性別信用卡平均每戶持卡張數統計表,['54484']
金融聯合徵信中心不同性別信用卡平均每戶未到期分期償還相關金額統計表,['54490']
金融聯合徵信中心不同性別信用卡循環信用戶數占流通卡歸戶數比重統計表,['54494']
金融聯合徵信中心不同性別信用卡循環信用金額占應收帳款比重統計表,['54492']
金融聯合徵信中心不同性別信用卡循環信用金額統計表,['24623']
金融聯合徵信中心不同性別未到期分期償還待墊帳單帳款餘額統計表,['24624']
金融聯合徵信中心不同性別未到期分期償還待墊消費款餘額統計表,['24625']
金融聯合徵信中心不同性別未到期分期償還預借現金餘額統計表,['24626']
金融聯合徵信中心不同性別現金卡戶放款餘額統計表,['24627']
金融聯合徵信中心中小企業融資服務平台文件專區,['11727']
金融聯合徵信中心企業十足擔保/非十足擔保平均每家授信金額統計表,['32321']
金融聯合徵信中心企業各授信用途別下之平均每家授信金額統計表,['32322']
金融聯合徵信中心企業授信用途別為「企業投資」下之十足擔保與否授信金額統計表,['36417']
金融聯合徵信中心企業授信用途別為「購置不動產」下之十足擔保與否授信金額統計表,['36415']
金融聯合徵信中心企業授信用途別為「購置動產」下之十足擔保與否授信金額統計表,['36416']
金融聯合徵信中心企業授信用途別為「週轉金」下之十足擔保與否授信金額統計表,['36418']
金融聯合徵信中心企業授信金額十足擔保/非十足擔保統計表,['24628']
金融聯合徵信中心企業授信金額用途別統計表,['24629']
金融聯合徵信中心企業新增授信金額十足擔保/非十足擔保統計表,['44120']
金融聯合徵信中心企業新增授信金額用途別統計表,['44121']
金融聯合徵信中心企業新增總貸款狀況授信金額統計表,['44119']
金融聯合徵信中心企業產業別新增貸款狀況授信金額統計表,['44117']
金融聯合徵信中心企業產業別貸款狀況統計趨勢資料(已去識別化),['13376']
金融聯合徵信中心企業總貸款狀況統計趨勢資料(已去識別化),['13378']
金融聯合徵信中心企業規模別新增貸款狀況授信金額統計表,['44118']
金融聯合徵信中心企業規模別貸款狀況統計趨勢資料(已去識別化),['13377']
金融聯合徵信中心信用卡不同性別應繳款金額統計表,['21953']
金融聯合徵信中心信用卡不同性別持卡張數統計表,['21951']
金融聯合徵信中心信用卡各年齡層應繳款金額統計表,['21952']
金融聯合徵信中心信用卡各年齡層持卡張數統計表,['21950']
金融聯合徵信中心信用卡平均每戶循環信用金額統計,['32327']
金融聯合徵信中心信用卡平均每戶應收帳款金額統計,['32326']
金融聯合徵信中心信用卡平均每戶持卡張數統計,['32325']
金融聯合徵信中心信用卡平均每戶未到期分期償還相關金額統計,['32328']
金融聯合徵信中心信用卡循環信用戶數占流通卡歸戶數比重統計,['32330']
金融聯合徵信中心信用卡循環信用金額占應收帳款比重統計,['32329']
金融聯合徵信中心信用卡未解約特約商店筆數統計表,['21954']
金融聯合徵信中心信用卡特約商店當月簽約筆數統計表,['21955']
金融聯合徵信中心信用卡特約商店當月解約筆數統計表,['21956']
金融聯合徵信中心信用常識宣導,['11730']
金融聯合徵信中心信貸借款人不同性別下的授信金額及利率統計表,['24630']
金融聯合徵信中心信貸借款人不同性別下的新增授信金額及利率統計表,['24631']
金融聯合徵信中心信貸借款人各年齡層下的授信金額及利率統計表,['24632']
金融聯合徵信中心信貸借款人各年齡層下的新增授信金額及利率統計表,['24633']
金融聯合徵信中心個人信用貸款狀況統計趨勢資料(已去識別化),['13374']
金融聯合徵信中心個人信貸與車貸交叉狀況統計趨勢資料,['54482']
金融聯合徵信中心個人學生貸款狀況統計趨勢資料,['54478']
金融聯合徵信中心個人房屋貸款狀況統計趨勢資料(已去識別化),['13373']
金融聯合徵信中心個人房貸與信貸交叉狀況統計趨勢資料,['54480']
金融聯合徵信中心個人房貸與車貸交叉狀況統計趨勢資料,['54481']
金融聯合徵信中心個人汽車貸款狀況統計趨勢資料(已去識別化),['21935']
金融聯合徵信中心個人總貸款狀況統計趨勢資料(已去識別化),['13375']
金融聯合徵信中心個人非十足擔保貸款狀況統計趨勢資料(已去識別化),['21936']
金融聯合徵信中心公告事項,['11728']
金融聯合徵信中心公開/非公開企業淨利(損)總額及企業家數統計表,['24634']
金融聯合徵信中心公開/非公開企業營收總額及企業家數統計表,['24635']
金融聯合徵信中心公開/非公開企業負債總額及企業家數統計表,['24636']
金融聯合徵信中心公開/非公開企業資產總額及企業家數統計表,['24637']
金融聯合徵信中心公開與否及產業別下企業營收淨額統計值,['28790']
金融聯合徵信中心公開與否及產業別下企業財報借款資訊統計值,['28791']
金融聯合徵信中心各年齡層信用卡平均每戶循環信用金額統計表,['54487']
金融聯合徵信中心各年齡層信用卡平均每戶應收帳款金額統計表,['54485']
金融聯合徵信中心各年齡層信用卡平均每戶持卡張數統計表,['54483']
金融聯合徵信中心各年齡層信用卡平均每戶未到期分期償還相關金額統計表,['54489']
金融聯合徵信中心各年齡層信用卡循環信用戶數占流通卡歸戶數比重統計表,['54493']
金融聯合徵信中心各年齡層信用卡循環信用金額占應收帳款比重統計表,['54491']
金融聯合徵信中心各年齡層信用卡循環信用金額統計表,['24638']
金融聯合徵信中心各年齡層未到期分期償還待墊帳單帳款餘額統計表,['24639']
金融聯合徵信中心各年齡層未到期分期償還待墊消費款餘額統計表,['24640']
金融聯合徵信中心各年齡層未到期分期償還預借現金餘額統計表,['24641']
金融聯合徵信中心各年齡層現金卡戶放款餘額統計表,['24642']
金融聯合徵信中心各產業淨利(損)總額及企業家數統計表,['24643']
金融聯合徵信中心各產業營收總額及企業家數統計表,['24644']
金融聯合徵信中心各產業負債總額及企業家數統計表,['24645']
金融聯合徵信中心各產業資產總額及企業家數統計表,['24646']
金融聯合徵信中心各規模別(營收)淨利(損)總額及企業家數統計表,['44129']
金融聯合徵信中心各規模別(營收)營收總額及企業家數統計表,['44128']
金融聯合徵信中心各規模別(營收)負債總額及企業家數統計表,['44127']
金融聯合徵信中心各規模別(營收)資產總額及企業家數統計表,['44126']
金融聯合徵信中心各規模別(資本額)淨利(損)總額及企業家數統計表,['44125']
金融聯合徵信中心各規模別(資本額)營收總額及企業家數統計表,['44124']
金融聯合徵信中心各規模別(資本額)負債總額及企業家數統計表,['44123']
金融聯合徵信中心各規模別(資本額)資產總額及企業家數統計表,['44122']
金融聯合徵信中心各項信用資訊揭露期限說明,['11731']
金融聯合徵信中心常見問答,['11732']
金融聯合徵信中心年報資料,['11733']
金融聯合徵信中心房貸借款人不同性別下的授信金額及利率統計表,['21943']
金融聯合徵信中心房貸借款人不同性別下的新增授信金額及利率統計表,['21947']
金融聯合徵信中心房貸借款人各年齡層下的授信金額及利率統計表,['21942']
金融聯合徵信中心房貸借款人各年齡層下的新增授信金額及利率統計表,['21946']
金融聯合徵信中心房貸往來金融機構類別下的授信金額及利率統計表,['21945']
金融聯合徵信中心房貸往來金融機構類別下的新增授信金額及利率統計表,['21949']
金融聯合徵信中心房貸擔保品所在地區別下的授信金額及利率統計表,['21944']
金融聯合徵信中心房貸擔保品所在地區別下的新增授信金額及利率統計表,['21948']
金融聯合徵信中心採購資訊,['11735']
金融聯合徵信中心新增個人信用貸款狀況統計趨勢資料(已去識別化),['21938']
金融聯合徵信中心新增個人學生貸款狀況統計趨勢資料,['54479']
金融聯合徵信中心新增個人房屋貸款狀況統計趨勢資料(已去識別化),['21937']
金融聯合徵信中心新增個人汽車貸款狀況統計趨勢資料(已去識別化),['21940']
金融聯合徵信中心新增個人總貸款狀況統計趨勢資料(已去識別化),['21939']
金融聯合徵信中心新增個人非十足擔保貸款狀況統計趨勢資料(已去識別化),['21941']
金融聯合徵信中心會員金融機構公告資訊,['11725']
金融聯合徵信中心本國銀行企業授信金額上市櫃企業產業別佔比統計趨勢資料,['21931']
金融聯合徵信中心本國銀行企業授信金額中型企業產業別佔比統計趨勢資料,['21933']
金融聯合徵信中心本國銀行企業授信金額企業規模別佔比統計趨勢資料,['21929']
金融聯合徵信中心本國銀行企業授信金額大型企業產業別佔比統計趨勢資料,['21932']
金融聯合徵信中心本國銀行企業授信金額小型企業產業別佔比統計趨勢資料,['21934']
金融聯合徵信中心本國銀行企業授信金額產業別佔比統計趨勢資料,['21930']
金融聯合徵信中心查詢講習資料,['11726']
金融聯合徵信中心現金卡平均每戶持卡統計,['32323']
金融聯合徵信中心現金卡平均每戶放款金額統計,['32324']
金融聯合徵信中心購置住宅貸款統計分析表-性別(存量),['113749']
金融聯合徵信中心購置住宅貸款統計分析表-性別(流量),['113748']
金融聯合徵信中心車貸借款人不同性別下的授信金額及利率統計表,['32318']
金融聯合徵信中心車貸借款人不同性別下的新增授信金額及利率統計表,['32320']
金融聯合徵信中心車貸借款人各年齡層下的授信金額及利率統計表,['32317']
金融聯合徵信中心車貸借款人各年齡層下的新增授信金額及利率統計表,['32319']
金融聯合徵信雜誌,['11734']
鉅額交易 > 個股單1證券鉅額交易日成交資訊,['11552']
鉅額交易各商品成交資訊-期貨商品,['22649']
鉅額交易各商品成交資訊-選擇權商品,['22650']
鉅額交易年成交量值統計,['11758']
鉅額交易成交量統計-期貨商品,['22651']
鉅額交易成交量統計-選擇權商品,['22671']
鉅額交易日成交資訊,['11665']
鉅額交易日成交量值統計,['11756']
鉅額交易月成交量值統計,['11757']
鉅額交易歷史成交資訊,['25035']
鉅額交易逐筆撮合之單式委託成交,['11323']
鉅額交易逐筆撮合之單式委託成交-期貨商品,['22647']
鉅額交易逐筆撮合之單式委託成交-選擇權商品,['22648']
鉅額交易逐筆撮合之組合式委託成交,['11324']
銀行協助女性就業或創業相關金融措施彙整表,['73190']
銀行局單位決算,['10405']
銀行局單位預算,['10381']
銀行局會計月報,['18631']
銀行業休假日期表_NEW,['119737']
銀行辦理各項消費性貸款提前清償違約金收費標準,['11828']
銀行及信用合作社受僱員工性別統計表,['113836']
銀行承作各項放款業務及逾期情形性別統計資料彙整表,['113837']
長期照顧保險被保險人性別統計表,['113828']
開放式基金受益憑證造市商與造市之基金,['30874']
開放式基金市場現況,['31634']
開放式基金當日行情表,['11855']
附認股權公司債發行資料下載,['11408']
集中交易市場成交金額投資人類別比例表_NEW,['104026']
集中交易市場投資法人交易概況表_NEW,['104035']
集中交易市場融資融券額度調整之有價證券,['11872']
集中保管ETF月分析表,['58207']
集中保管TDR月分析表,['58210']
集中保管債券收付統計表,['11456']
集中保管帳戶異動統計表,['11636']
集中保管有價證券帳簿劃撥統計表,['11458']
集中保管有價證券帳簿劃撥設質交付個股週統計表,['20610']
集中保管有價證券帳簿劃撥設質交付統計表,['11460']
集中保管有價證券業務概況表_NEW,['104020']
集中保管證券保管統計表,['11457']
集中保管開放式受益憑證月分析表,['58208']
集中保管黃金現貨月分析表,['58209']
集中市場漲跌證券數統計表,['18409']
集中市場當日公布注意累計次數異常資訊,['33999']
集中市場當日公布注意股票,['34000']
集中市場當月公布處置股票,['29082']
集中市場股票交易概況表_NEW,['103545']
集中市場臺灣存託憑證發行概況統計表,['11136']
集中市場認購(售)權證發行概況統計表_NEW,['103991']
集中市場證券總成交值概況表-依交易別分類,['129349']
集中市場證券總成交值概況表_NEW,['103544']
集保戶股權分散表,['11452']
電子式交易統計資訊,['20766']
電子式交易統計資訊(上櫃),['25034']
電子票證重要業務資訊揭露,['10557']
電子資料檔案建置內容查核缺失態樣,['11978']
預算(財團法人住宅地震保險基金),['11439']
風險指標資料查核缺失態樣,['11975']
高殖利率指數歷史收盤指數,['11393']
高齡化保險保費收入統計,['27943']
高齡化保險契約件數統計,['27942']
黃金現貨市場現況,['31635']
黃金現貨權證收盤行情,['42756']
黃金現貨權證發行基本資料,['42755']
黃金現貨當日行情表,['32443']
金融控股公司及本國銀行董事性別比率統計表,['113840']
金融業內部稽核人員性別統計表,"['113841', '113842']"
不動產授信之性別統計,['113838']
